fil,ss,prot,rep,sub,condition,complex
../results/xlsites/Prp22_K521A-FLAG_UBC4_dG_long_DBR1_exp37.small.Aligned.out.sorted.cdnacounts,DG,dn,rep1,UBC4,UV,Cstar
../results/xlsites/Prp22_K521A-FLAG_UBC4_dG_long_DBR1_exp38.small.Aligned.out.sorted.cdnacounts,DG,dn,rep2,UBC4,UV,Cstar
../results/xlsites/Prp22-FLAG_UBC4_dG_long_DBR1_exp37.small.Aligned.out.sorted.cdnacounts,DG,wt,rep1,UBC4,UV,Cstar
../results/xlsites/Prp22-FLAG_UBC4_dG_long_DBR1_exp38.small.Aligned.out.sorted.cdnacounts,DG,wt,rep2,UBC4,UV,Cstar
../results/xlsites/Prp22_K521A-FLAG-His_yeast_ACT1_dG_Prp22_K512A_DBR1_exp39.small.Aligned.out.sorted.cdnacounts,DG,dn,rep1,ACT1,UV,Cstar
../results/xlsites/Prp22_K521A-FLAG-His_yeast_ACT1_dG_Prp22_K512A_DBR1_exp41.small.Aligned.out.sorted.cdnacounts,DG,dn,rep2,ACT1,UV,Cstar
../results/xlsites/Prp22-FLAG-His_yeast_ACT1_dG_Prp22_DBR1_exp39.small.Aligned.out.sorted.cdnacounts,DG,wt,rep1,ACT1,UV,Cstar
../results/xlsites/Prp22-FLAG-His_yeast_ACT1_dG_Prp22_DBR1_exp41.small.Aligned.out.sorted.cdnacounts,DG,wt,rep2,ACT1,UV,Cstar
../prp22_p_complex_figure3/data/Prp22_K512A_FLAG_UBC4_WT54_Prp22_K512A_exp28.Aligned.out.forward.sorted.bam.intronRemoved.cDNAcounts,WT,dn,rep1,UBC4,UV,P
../prp22_p_complex_figure3/data/Prp22_K521A-FLAG_UBC4_WT54_DBR1_exp36.Aligned.out.forward.sorted.bam.intronRemoved.cDNAcounts,WT,dn,rep2,UBC4,UV,P
../prp22_p_complex_figure3/data/Prp22_K521A-FLAG-His_yeast_ACT1_3xMS2_Prp22_K512A_DBR1_exp42.Aligned.out.forward.sorted.bam.intronRemoved.cDNAcounts,WT,dn,rep1,ACT1,UV,P
../prp22_p_complex_figure3/data/Prp22_K521A-FLAG-His_yeast_ACT1_3xMS2_Prp22_K512A_DBR1_exp40.Aligned.out.forward.sorted.bam.intronRemoved.cDNAcounts,WT,dn,rep2,ACT1,UV,P
../results/xlsites/ctrl_notag_Prp22_K512A_UBC4_dG_long_DBR1_exp37.small.Aligned.out.sorted.cdnacounts,DG,dn,rep1,UBC4,ctrl,Cstar
../results/xlsites/ctrl_notag_Prp22_K512A_UBC4_dG_long_DBR1_exp38.small.Aligned.out.sorted.cdnacounts,DG,dn,rep2,UBC4,ctrl,Cstar
../results/xlsites/ctrl_notag_UBC4_dG_long_DBR1_exp37.small.Aligned.out.sorted.cdnacounts,DG,wt,rep1,UBC4,ctrl,Cstar
../results/xlsites/ctrl_notag_UBC4_dG_long_DBR1_exp38.small.Aligned.out.sorted.cdnacounts,DG,wt,rep2,UBC4,ctrl,Cstar
../results/xlsites/ctrl_yeast_ACT1_dG_Prp22_K512A_DBR1_exp39.small.Aligned.out.sorted.cdnacounts,DG,dn,rep1,ACT1,ctrl,Cstar
../results/xlsites/ctrl_yeast_ACT1_dG_Prp22_K512A_DBR1_exp41.small.Aligned.out.sorted.cdnacounts,DG,dn,rep2,ACT1,ctrl,Cstar
../results/xlsites/ctrl_yeast_ACT1_dG_Prp22_DBR1_exp39.small.Aligned.out.sorted.cdnacounts,DG,wt,rep1,ACT1,ctrl,Cstar
../results/xlsites/ctrl_yeast_ACT1_dG_Prp22_DBR1_exp41.small.Aligned.out.sorted.cdnacounts,DG,wt,rep2,ACT1,ctrl,Cstar
../prp22_p_complex_figure3/data/ctrl_notag_Prp22_K512A_UV_UBC4_WT54_exp28.Aligned.out.forward.sorted.bam.intronRemoved.cDNAcounts,WT,dn,rep1,UBC4,ctrl,P
../prp22_p_complex_figure3/data/ctrl_notag_Prp22_K512A_UBC4_WT54_DBR1_exp36.Aligned.out.forward.sorted.bam.intronRemoved.cDNAcounts,WT,dn,rep2,UBC4,ctrl,P
../prp22_p_complex_figure3/data/ctrl_yeast_ACT1_3xMS2_Prp22_K512A_DBR1_exp_42.Aligned.out.forward.sorted.bam.intronRemoved.cDNAcounts,WT,dn,rep1,ACT1,ctrl,P
../prp22_p_complex_figure3/data/ctrl_yeast_ACT1_3xMS2_Prp22_K512A_DBR1_exp_40.Aligned.out.forward.sorted.bam.intronRemoved.cDNAcounts,WT,dn,rep2,ACT1,ctrl,P
